[Q120429](https://www.wikidata.org/wiki/Q120429),[Reflect](https://mathgloss.github.io/CatGloss/context/reflect),[Reflect](https://mathgloss.github.io/CatGloss/topoi/reflect),,[Reflection](https://ncatlab.org/nlab/show/reflection)
[Q6101219](https://www.wikidata.org/wiki/Q6101219),[Reflective subcategory](https://mathgloss.github.io/CatGloss/context/reflective_subcategory),,,[Reflective subcategory](https://ncatlab.org/nlab/show/reflective+subcategory)
[Q426221](https://www.wikidata.org/wiki/Q426221),[Reflector](https://mathgloss.github.io/CatGloss/context/reflector),,[Reflection](https://mathgloss.github.io/CatGloss/bct/reflection),
[Q130901](https://www.wikidata.org/wiki/Q130901),[Relation](https://mathgloss.github.io/CatGloss/context/relation),,,[Functional relation](https://ncatlab.org/nlab/show/functional+relation)
[Q2905654](https://www.wikidata.org/wiki/Q2905654),[Representation](https://mathgloss.github.io/CatGloss/context/representation),[Representation](https://mathgloss.github.io/CatGloss/topoi/representation),[Representation](https://mathgloss.github.io/CatGloss/bct/representation),
[Q357858](https://www.wikidata.org/wiki/Q357858),[Right adjoint](https://mathgloss.github.io/CatGloss/context/right_adjoint),[Unit of adjunction](https://mathgloss.github.io/CatGloss/topoi/unit_of_adjunction),[Right adjoint](https://mathgloss.github.io/CatGloss/bct/right_adjoint),[Right adjoint](https://ncatlab.org/nlab/show/right+adjoint)
[Q320245](https://www.wikidata.org/wiki/Q320245),[Right derived functor](https://mathgloss.github.io/CatGloss/context/right_derived_functor),,,[Derived functor](https://ncatlab.org/nlab/show/derived+functor)
[Q7451799](https://www.wikidata.org/wiki/Q7451799),[Separating set](https://mathgloss.github.io/CatGloss/context/separating_set),,,
[Q17000267](https://www.wikidata.org/wiki/Q17000267),[Separator](https://mathgloss.github.io/CatGloss/context/separator),[Generator](https://mathgloss.github.io/CatGloss/topoi/generator),,
[Q2119470](https://www.wikidata.org/wiki/Q2119470),[Sierpinski space](https://mathgloss.github.io/CatGloss/context/sierpinski_space),,[Sierpinski space](https://mathgloss.github.io/CatGloss/bct/sierpinski_space),[Sierpinski space](https://ncatlab.org/nlab/show/sierpinski+space)
